Property_ID,Included_SPF_analysis,Excluded_SPF_analysis_reason,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Selected_window_quality_score_max,Selected_window_quality_score_mean,Selected_window_SPFH2,Selected_window_SPFH3,Selected_window_SPFH4,Selected_window_Whole_System_Energy_Consumed,Selected_window_HP_Energy_Output,Selected_window_IH_Energy_Consumed,Selected_window_BUH_Energy_Consumed,Selected_window_CP_Energy_Consumed,Selected_window_Boiler_Energy_Output,Selected_window_mean_SH_flow_temp,Selected_window_mean_SH_return_temp,Selected_window_mean_HW_Flow_Temp,Selected_window_flow_>65C_flag,Selected_window_proportion_flow_>65C,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,Included_coldest_day_analysis,Excluded_coldest_day_analysis_reason,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output,Temp_cleaning_complete,Hot_water_flow_temperature_partial_swap,Hot_water_flow_temperature_full_swap
EOH0001,FALSE,Less than 1yr data available,01/12/2021 11:04,15/08/2022 09:16,256.93,01/12/2021 11:06,15/08/2022 09:14,256.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,22/12/2021 00:00,0.912,0.80,5.10,-4.30,11.92,14.48,10.38,7.73,4.76,2.29,0.00,0.00,,1,1,1,,1,,TRUE,Attempted,
EOH0003,TRUE,,15/04/2021 16:16,26/08/2022 00:00,497.32,15/04/2021 16:18,25/08/2022 23:58,497.32,28/04/2021,28/04/2022,2,0.05,2.725,2.585,2.494,3810.99,9205.27,298.42,0,134.32,,29.95,27.82,32.26,FALSE,,0.971,0.971,0.972,,0.971,,100,2.728,0.006,2.727,2.584,0.006,2.583,2.494,0.006,2.493,TRUE,,04/01/2022 00:00,2.426,-0.99,0.59,-3.30,19.31,20.39,18.25,19.96,46.97,1.43,0.00,0.76,,1,1,1,,1,,TRUE,,
EOH0005,FALSE,SPF outside threshold,21/05/2021 14:00,25/08/2022 23:58,461.42,21/05/2021 14:02,25/08/2022 23:56,461.41,26/05/2021,26/05/2022,5,1.477,0.548,0.548,0.541,3487.37,1886.36,0,0,42.73,,40.78,37.17,42.88,TRUE,0.0001,0.964,0.503,,,0.964,,0,,,,,,,,,,FALSE,COP Outside of acceptable range,24/02/2022 00:00,0.348,1.99,3.80,0.13,19.61,21.97,18.01,22.09,7.70,0.00,0.00,0.28,,1,1,,,1,,TRUE,,
EOH0014,FALSE,Less than 1yr usable data,22/06/2021 14:30,25/08/2022 23:58,429.39,29/08/2021 00:00,25/08/2022 23:56,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Not ASHP,04/01/2022 00:00,0.007,-0.99,0.59,-3.30,17.75,20.53,15.35,3.48,0.03,0.00,0.00,1.56,66.56,1,1,,,1,1,TRUE,,
EOH0018,TRUE,,19/12/2020 10:40,25/08/2022 23:58,614.55,19/12/2020 10:44,25/08/2022 23:56,614.55,10/04/2021,10/04/2022,2,0.007,4.062,4.062,3.82,2383.68,9106.73,0,0,141.64,4639.62,37.84,33.22,37.84,TRUE,0,0.994,0.994,,,0.994,0.915,126,4.066,0.033,4.084,4.066,0.033,4.084,3.829,0.03,3.846,FALSE,Not ASHP,11/02/2021 00:00,1.203,-3.92,2.10,-8.20,20.10,22.12,16.50,3.95,4.76,0.00,0.00,0.00,,0.972,0.975,,,0.972,,TRUE,,
EOH0021,TRUE,,17/08/2021 15:30,25/08/2022 23:58,373.35,17/08/2021 15:32,25/08/2022 23:56,373.35,25/08/2021,25/08/2022,3.3,0.296,3.374,3.342,2.826,3195.61,8994.47,36.42,0,493.05,,32.8,31.09,35.04,FALSE,,0.904,0.904,0.904,,0.904,,8,3.368,0.003,3.368,3.336,0.003,3.336,2.821,0.003,2.821,TRUE,,28/11/2021 00:00,2.504,0.36,3.20,-2.78,18.50,19.57,17.31,32.44,81.24,0.00,0.00,3.99,,1,1,1,,1,,TRUE,,
EOH0025,FALSE,Less than 1yr data available,15/04/2021 13:04,31/03/2022 23:58,350.45,15/04/2021 13:06,31/03/2022 23:56,350.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,18/01/2022 00:00,2.827,1.44,5.30,-3.40,19.16,21.09,17.27,15.43,43.60,0.00,0.00,0.26,,1,1,1,,1,,TRUE,,
EOH0026,TRUE,,05/05/2021 14:20,25/08/2022 23:58,477.4,06/05/2021 00:00,25/08/2022 23:56,477,27/05/2021,27/05/2022,2,0.054,2.836,2.802,2.723,5546.33,15002.99,97.91,0,157.44,,40.23,36.65,40.64,FALSE,,0.97,0.97,0.97,,0.97,,109,2.838,0.003,2.837,2.804,0.003,2.803,2.725,0.002,2.724,TRUE,,04/01/2022 00:00,2.169,-0.99,0.59,-3.30,19.05,20.43,17.99,45.85,93.77,5.67,0.00,1.05,,1,1,1,,1,,TRUE,,
EOH0027,FALSE,Less than 1yr data available,26/07/2021 11:06,31/03/2022 23:58,248.54,06/08/2021 00:00,31/03/2022 23:56,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,04/01/2022 00:00,2.446,-0.99,0.59,-3.30,16.35,17.40,15.53,22.52,55.09,0.00,0.00,0.92,,1,1,,,1,,TRUE,,
EOH0029,FALSE,Less than 1yr data available,23/11/2021 18:02,17/03/2022 00:04,113.25,23/11/2021 18:04,17/03/2022 00:02,113.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,04/01/2022 00:00,1.93,-0.99,0.59,-3.30,19.29,21.23,17.95,34.85,67.25,0.00,0.00,0.42,,1,1,,,1,,TRUE,,
EOH0031,TRUE,,26/02/2021 14:16,26/08/2022 00:00,545.41,26/02/2021 14:18,25/08/2022 23:58,545.4,11/04/2021,11/04/2022,2,0.003,2.926,2.926,2.889,6240.99,18028.22,0,0,80.45,,38.2,33.26,40.04,TRUE,0.0008,0.996,0.996,,,0.996,,163,2.933,0.01,2.937,2.933,0.01,2.937,2.895,0.007,2.898,TRUE,,28/11/2021 00:00,2.487,0.36,3.20,-2.78,22.77,24.27,21.42,44.30,110.18,0.00,0.00,0.62,,1,1,,,1,,TRUE,,
