Property_ID,Circulation_Pump_Energy_Consumed,Heat_Pump_Energy_Output,Whole_System_Energy_Consumed,HP_Consumption,Immersion_Heater_Energy_Consumed,Boiler_Energy_Output,Back-up_Heater_Energy_Consumed
EOH1328,50.81,13413.189000000002,5738.775,5687.965000000001,,,
EOH1472,0.0,9013.197,4271.077133333334,4104.302133333334,166.775,,
EOH2609,328.706,19112.857,6092.267333333334,5423.052333333333,340.509,,
EOH0963,471.6549333333333,26542.675,8350.5306,7788.888666666667,89.987,,
EOH0234,92.202,5715.995,2407.311,2312.412,2.697,,
EOH0546,37.06957142857142,10467.385714285716,4525.226552380953,4405.978980952382,82.17800000000001,,
EOH1664,105.16900000000001,1304.9050000000002,609.7857000000001,504.61670000000015,,3979.3230000000012,
EOH2386,164.695,13188.502,4955.0106,4686.995599999998,103.32000000000004,,
EOH0432,96.20206666666668,15562.5596,5969.1918000000005,5872.989733333335,,,
EOH1062,29.506,8296.225,2666.8503333333333,2507.5443333333337,129.8,,
EOH3107,44.181000000000004,20941.091999999997,6916.058704761906,6712.179704761904,159.69799999999998,,
EOH0618,255.9062,11552.431999999999,4641.57955,4250.10035,135.573,,
EOH2769,21.961,10482.791266666667,3993.088133333333,3971.1271333333334,,,
EOH1512,95.58200000000002,2782.776,1399.4504666666664,1303.8684666666666,,2786.5,
EOH1249,127.1228,7445.0856,2811.5933999999997,2612.4686,72.002,,
EOH1711,85.692,11203.293000000001,2867.1566666666668,2781.4646666666667,,,
EOH1705,33.841,11324.789,3462.9606333333336,3343.3566333333333,85.76299999999999,,
EOH0341,130.76,11760.532,5325.9015,5138.2035,56.93800000000002,,
EOH1103,0.0,9817.902333333333,3136.094,3057.2746666666667,78.81933333333333,,
EOH1671,101.5564,3927.506,1476.319,1318.6406000000002,56.122,,
EOH2436,119.20353333333333,18944.916,5508.3911333333335,5389.1876,,,
EOH2422,0.0,17881.7952,5980.588933333333,5930.840933333334,49.748,,
EOH1498,157.90500000000003,4960.810000000001,1687.7792,1529.8741999999997,,4960.81,
EOH0745,0.0,12787.198133333333,4251.690933333332,4251.633933333333,0.056999999999999995,,
EOH0021,493.04900000000004,8994.469,3196.1176904761905,2666.6536904761906,36.415,,
EOH3138,0.0,6487.8589999999995,2723.364,2256.84,466.52399999999994,,
EOH2232,15.143999999999998,14160.985999999999,5346.2024,5331.058400000001,,,
EOH0380,66.961,15685.679,5499.704933333334,5432.743933333334,,,
EOH2024,0.0,12486.10913333333,4303.7458,4303.7458,,,
